ENSGid	gene_name
ENSG00000186377.6	CYP4X1
ENSG00000163872.11	YEATS2
ENSG00000105668.3	UPK1A
ENSG00000163946.9	FAM208A
ENSG00000163964.9	PIGX
ENSG00000203279.3	RP11-498P14.5
ENSG00000140988.11	RPS2
ENSG00000264070.1	DND1P1
ENSG00000265752.2	RP11-403A21.1
ENSG00000137177.14	KIF13A
ENSG00000197815.3	AC122129.1
ENSG00000240280.2	TCAM1P
ENSG00000196313.7	POM121
ENSG00000118939.13	UCHL3
ENSG00000137441.7	FGFBP2
ENSG00000242296.2	DEFB109P1
ENSG00000228014.1	RP11-321E8.5
ENSG00000196792.7	STRN3
ENSG00000196584.2	XRCC2
ENSG00000261349.1	RP3-465N24.5
ENSG00000140718.14	FTO
ENSG00000177600.4	RPLP2
ENSG00000121454.4	LHX4
ENSG00000124140.8	SLC12A5
ENSG00000061938.12	TNK2
ENSG00000154710.11	RABGEF1
ENSG00000103599.15	IQCH
ENSG00000188242.4	CTD-2228K2.5
ENSG00000235374.1	SSR4P1
ENSG00000108786.6	HSD17B1
ENSG00000179023.7	KLHDC7A
ENSG00000128709.10	HOXD9
ENSG00000162692.6	VCAM1
ENSG00000189339.7	SLC35E2B
ENSG00000170776.15	AKAP13
ENSG00000166664.9	CHRFAM7A
ENSG00000167914.6	GSDMA
ENSG00000053372.4	MRTO4
ENSG00000187010.14	RHD
ENSG00000240654.2	C1QTNF9
ENSG00000212694.4	AC084018.1
ENSG00000204956.4	PCDHGA1
ENSG00000100320.18	RBFOX2
ENSG00000269473.1	CTD-2619J13.19
ENSG00000198089.10	SFI1
ENSG00000224961.1	RP1-278O22.1
ENSG00000100099.16	HPS4
ENSG00000059769.15	DNAJC25
ENSG00000011143.12	MKS1
ENSG00000084463.3	WBP11
ENSG00000269983.1	RP11-497H16.9
ENSG00000185986.10	SDHAP3
ENSG00000206562.7	METTL6
ENSG00000144231.6	POLR2D
ENSG00000196458.6	ZNF605
ENSG00000228782.3	MRPL45P2
ENSG00000090857.9	PDPR
ENSG00000140521.7	POLG
ENSG00000152254.6	G6PC2
ENSG00000136930.8	PSMB7
ENSG00000196126.6	HLA-DRB1
ENSG00000141028.6	CDRT15P1
ENSG00000106004.4	HOXA5
ENSG00000189120.3	SP6
ENSG00000165516.6	KLHDC2
ENSG00000125510.11	OPRL1
ENSG00000075240.12	GRAMD4
ENSG00000136875.8	PRPF4
ENSG00000128268.11	MGAT3
ENSG00000177370.4	TIMM22
ENSG00000108592.12	FTSJ3
ENSG00000101236.12	RNF24
ENSG00000149554.8	CHEK1
ENSG00000188372.10	ZP3
ENSG00000144655.10	CSRNP1
ENSG00000182359.10	KBTBD3
ENSG00000128573.18	FOXP2
ENSG00000230189.2	GS1-124K5.2
ENSG00000183207.8	RUVBL2
ENSG00000133028.6	SCO1
ENSG00000204525.10	HLA-C
ENSG00000213203.2	GIMAP1
ENSG00000250411.1	RP11-257I8.2
ENSG00000205571.8	SMN2
ENSG00000158863.17	FAM160B2
ENSG00000110719.5	TCIRG1
ENSG00000163576.13	EFHB
ENSG00000100243.16	CYB5R3
ENSG00000144659.6	SLC25A38
ENSG00000168903.8	BTNL3
ENSG00000114770.12	ABCC5
ENSG00000165171.6	WBSCR27
ENSG00000206538.3	VGLL3
ENSG00000183775.6	KCTD16
ENSG00000119929.8	CUTC
ENSG00000100994.7	PYGB
ENSG00000006042.7	TMEM98
ENSG00000109063.10	MYH3
ENSG00000164251.4	F2RL1
ENSG00000181885.14	CLDN7
ENSG00000079950.9	STX7
ENSG00000144401.10	METTL21A
ENSG00000213178.3	RP11-641D5.1
ENSG00000075142.9	SRI
ENSG00000175220.7	ARHGAP1
ENSG00000259715.1	CTD-3110H11.1
ENSG00000112304.6	ACOT13
ENSG00000232453.1	RP4-794H19.1
ENSG00000186704.8	DTX2P1
ENSG00000165650.7	PDZD8
ENSG00000272655.1	POLR2J4
ENSG00000108591.5	DRG2
ENSG00000203907.5	OOEP
ENSG00000231205.7	ZNF826P
ENSG00000214376.5	VSTM5
ENSG00000140557.7	ST8SIA2
ENSG00000147869.4	CER1
ENSG00000072756.12	TRNT1
ENSG00000126746.13	ZNF384
ENSG00000174332.3	GLIS1
ENSG00000165511.4	C10orf25
ENSG00000176386.4	CDC26
ENSG00000267547.1	RP11-686D22.4
ENSG00000158023.5	WDR66
ENSG00000105088.4	OLFM2
ENSG00000213830.3	CFL1P5
ENSG00000068079.3	IFI35
ENSG00000225190.4	PLEKHM1
ENSG00000179218.9	CALR
ENSG00000144746.6	ARL6IP5
ENSG00000253317.1	RP11-142A23.1
ENSG00000235863.2	B3GALT4
ENSG00000273448.1	RP11-166O4.6
ENSG00000166548.11	TK2
ENSG00000048544.5	MRPS10
ENSG00000164253.8	WDR41
ENSG00000259445.1	RP11-276M12.1
ENSG00000136811.12	ODF2
ENSG00000214076.3	CPSF1P1
ENSG00000135976.12	ANKRD36
ENSG00000164494.7	PDSS2
ENSG00000113068.5	PFDN1
ENSG00000166135.9	HIF1AN
ENSG00000156931.11	VPS8
ENSG00000214046.4	SMIM7
ENSG00000136144.7	RCBTB1
ENSG00000170638.5	TRABD
ENSG00000167333.8	TRIM68
ENSG00000163785.8	RYK
ENSG00000101193.6	GID8
ENSG00000124588.15	NQO2
ENSG00000179115.6	FARSA
ENSG00000232388.2	LINC00493
ENSG00000065268.6	WDR18
ENSG00000112874.5	NUDT12
ENSG00000144199.7	FAHD2B
ENSG00000119314.11	PTBP3
ENSG00000146007.6	ZMAT2
ENSG00000011105.7	TSPAN9
ENSG00000205352.6	PRR13
ENSG00000183426.11	NPIPA1
ENSG00000172346.10	CSDC2
ENSG00000179406.6	LINC00174
ENSG00000169684.9	CHRNA5
ENSG00000078674.13	PCM1
ENSG00000269921.1	RP11-646I6.5
ENSG00000250378.1	RP11-119J18.1
ENSG00000153048.6	CARHSP1
ENSG00000125779.17	PANK2
ENSG00000167987.6	VPS37C
ENSG00000103550.9	KNOP1
ENSG00000121101.11	TEX14
ENSG00000163710.3	PCOLCE2
ENSG00000165912.11	PACSIN3
ENSG00000136492.4	BRIP1
ENSG00000241468.3	ATP5J2
ENSG00000221963.5	APOL6
ENSG00000131849.10	ZNF132
ENSG00000256223.1	ZNF10
ENSG00000136098.12	NEK3
ENSG00000176720.3	BOK
ENSG00000162365.7	CYP4A22
ENSG00000203306.3	AP001007.1
ENSG00000164068.11	RNF123
ENSG00000129195.11	FAM64A
ENSG00000235475.1	RP11-166O4.5
ENSG00000212127.5	TAS2R14
ENSG00000121440.10	PDZRN3
ENSG00000116883.8	RP11-268J15.5
ENSG00000188672.12	RHCE
ENSG00000130779.15	CLIP1
ENSG00000198890.6	PRMT6
ENSG00000228300.9	C19orf24
ENSG00000113593.7	PPWD1
ENSG00000214826.4	DDX12P
